created,text,retwc,hashtag,followers,friends
11/6/2019 9:12,b'@ashoswai @ndtv No one has humiliated and demeaned India more than BJP candidates. \nSelf humiliation\nSelf destructi\xe2\x80\xa6 https://t.co/vKHcvtQRQi',0,None,160,455
11/6/2019 9:12,"b'RT @TheDeshBhakt: Question is, what has the BJP released on us poor citizens\xf0\x9f\x98\xb1 https://t.co/RHUcWtqJdv'",258,None,387,1107
11/6/2019 9:12,"b'RT @preadi: Hindus of South India are special.\n\nAt Sabarimala, they need BJP to stop CPM atrocities.\n\nAt Tirupati, they need BJP to foil th\xe2\x80\xa6'",2584,None,159,351
11/6/2019 9:12,b'RT @AskAnshul: In Delhi\n\n1. On what basis Policeman fired at lawyers over argument for parking?\n\n2. On what basis Lawyers attacked Policeme\xe2\x80\xa6',1616,None,2,66
11/6/2019 9:12,"b'RT @preadi: Hindus of South India are special.\n\nAt Sabarimala, they need BJP to stop CPM atrocities.\n\nAt Tirupati, they need BJP to foil th\xe2\x80\xa6'",2584,None,19,73
11/6/2019 9:12,b'RT @INCIndia: The combined efforts of the Congress and other opposition parties along with the protests by farmers and industries forced th\xe2\x80\xa6',485,None,1090,230
11/6/2019 9:12,b'@priyankac19 And if your party was sure they wanted CM post why they aligned with BJP? They thought BJP will handov\xe2\x80\xa6 https://t.co/PjFLogQytB',0,None,201,637
11/6/2019 9:12,b'RT @Swamy39: I urge Shiv Sena to find a way to join with BJP to form the Government. It is true Shiv Sena has genuine grievances about BJP\xe2\x80\xa6',3139,None,22,101
11/6/2019 9:12,"b""RT @ashoswai: These guys are even capable of blaming Pakistan and China for India's population growth! https://t.co/WhmQqZ67Ff via @ndtv""",16,None,789,826
11/6/2019 9:12,b'RT @Swamy39: I urge Shiv Sena to find a way to join with BJP to form the Government. It is true Shiv Sena has genuine grievances about BJP\xe2\x80\xa6',3139,None,19,63
11/6/2019 9:12,"b'RT @preadi: Hindus of South India are special.\n\nAt Sabarimala, they need BJP to stop CPM atrocities.\n\nAt Tirupati, they need BJP to foil th\xe2\x80\xa6'",2584,None,38,234
11/6/2019 9:12,"b""RT @ashoswai: These guys are even capable of blaming Pakistan and China for India's population growth! https://t.co/WhmQqZ67Ff via @ndtv""",16,None,74,487
11/6/2019 9:12,b'@dasraghubar @narendramodi @BJP4Jharkhand @AmitShah @JPNadda @nkishoreyadav @OmMathur_bjp @LaxmanMP @idharampalsingh Phir se BJP sarkar!@!',0,None,0,1
11/6/2019 9:12,"b'@NarayanannairPv @ThanthiTV @sumanthraman Already Kalaigar has erected a statue in Kanyakumari, otherwise Modiji wo\xe2\x80\xa6 https://t.co/C0nodlByFd'",0,None,66,91
11/6/2019 9:12,b'RT @Swamy39: I urge Shiv Sena to find a way to join with BJP to form the Government. It is true Shiv Sena has genuine grievances about BJP\xe2\x80\xa6',3139,None,154,111
11/6/2019 9:12,b'RT @madhukishwar: Govt darent book #JehadiMehbooba&amp; other #PakPuppets on sedition charges. But #Honeypreet soft target. @BJP4India handed o\xe2\x80\xa6',360,JehadiMehbooba,3016,3064
11/6/2019 9:12,"b'RT @nailainayat: Pakistan may have released poisonous gas to pollute air in India, says UP BJP leader.\n\nYeah right, like we have money to d\xe2\x80\xa6'",208,None,150,1370
11/6/2019 9:12,"b'RT @AutoRaja1212: Pakistan, China May Have Released Poisonous Gas To Pollute Air In India: BJP Leader Vineet Agarwal Sharda\xc2\xa0from UP.\n\nBJP m\xe2\x80\xa6'",74,None,10647,3008
11/6/2019 9:12,"b""RT @ashoswai: These guys are even capable of blaming Pakistan and China for India's population growth! https://t.co/WhmQqZ67Ff via @ndtv""",16,None,198,535
11/6/2019 9:12,"b'Going the governance of Country /State in the hands of family is never good for democracy. Bad luck, except BJP we\xe2\x80\xa6 https://t.co/Ex9AqiQcEm'",0,None,1828,794
11/6/2019 9:12,b'Now who will decide fate of Maharashtra? those people whom we voted are fighting for CM Post more ministerial birth\xe2\x80\xa6 https://t.co/SfrCgTXbT7',0,None,33,98
11/6/2019 9:12,"b'@sujitsingh__ @Pappu30003 ""Values only Valued not Wolves""\nAt BJP there were DUPLICATES, \nAt Congress, there were Lo\xe2\x80\xa6 https://t.co/uA2xgH2Xio'",0,None,568,2469
11/6/2019 9:12,"b""RT @SanjaySDutt: #TamilNadu #newspapers coverage of @INCTamilNadu #Kanyakumari DCC's organised Protest Agitation, in Kanyakumari yesterday,\xe2\x80\xa6""",2,TamilNadu,175,795
11/6/2019 9:12,"b""RT @ashoswai: These guys are even capable of blaming Pakistan and China for India's population growth! https://t.co/WhmQqZ67Ff via @ndtv""",16,None,88,577
11/6/2019 9:12,b'Honestly if Jan Sangh or BJP had been in power for 71 years then India would be a hellhole or probably not survive\xe2\x80\xa6 https://t.co/ZTlh8I4UIs',0,None,4662,4673
11/6/2019 9:12,"b'RT @t_d_h_nair: A local BJP leader\xe2\x80\x98s supporter/associate was drinking alcohol, sitting on the bonnet of a parked vehicle in Yamuna Nagar to\xe2\x80\xa6'",907,None,497,1861
11/6/2019 9:12,b'RT @AskAnshul: In Delhi\n\n1. On what basis Policeman fired at lawyers over argument for parking?\n\n2. On what basis Lawyers attacked Policeme\xe2\x80\xa6',1616,None,68,92
11/6/2019 9:12,b'RT @AskAnshul: In Delhi\n\n1. On what basis Policeman fired at lawyers over argument for parking?\n\n2. On what basis Lawyers attacked Policeme\xe2\x80\xa6',1616,None,76,1109
11/6/2019 9:12,b'RT @arungiri: Breaking News scooped by @ss_suryawanshi  - One group of Cong MLAs to support Sena NCP govt... trust me - Cong wont be left w\xe2\x80\xa6',36,None,261,1292
11/6/2019 9:12,"b""RT @rameshsrivats: There's just a minor difference of opinion in Maharashtra -\nBJP feels Shiv Sena are allies.\nShiv Sena feels BJP are all\xe2\x80\xa6""",92,None,18,235
11/6/2019 9:12,b'RT @PidiBuster: 1/4 Is this what you call Love Jihad! I am seriously wondering after looking at the high instances of inter faith marriages\xe2\x80\xa6',45,None,206,44
11/6/2019 9:12,"b'@arnkell23 @dasarpurug @OpusOfAli I know TRUTH is hard to accept but this is not some RSS BJP conspiracy,This is wr\xe2\x80\xa6 https://t.co/6tdS2cJgoo'",0,None,318,2064
11/6/2019 9:12,b'RT @Swamy39: I urge Shiv Sena to find a way to join with BJP to form the Government. It is true Shiv Sena has genuine grievances about BJP\xe2\x80\xa6',3139,None,3016,3064
11/6/2019 9:12,b'@Dikshapandey22 @Real_Anuj @ReaI_Netan @realUpdeshRana Sorry',0,None,8372,5372
11/6/2019 9:12,"b'RT @INCAssam: Assam PCC staged a massive protest on ""econiomic slowdown in India"" and on ""antipeople role of BJP led govt"" in front of SBI,\xe2\x80\xa6'",151,None,1090,230
11/6/2019 9:12,"b'RT @sankrant: The story of BJP everywhere. People vote it to fight the conversion mafia, to preserve culture and traditions.\n\nAfter it come\xe2\x80\xa6'",190,None,96,101
